name,description,manufacturer,brand,class_name,unit_cost,unit_price,product_id,product_sub_cat_fkey
a4tech 512MB MP3 Player E51 Silver,512MB USB driver plays MP3 and WMA,"a4tech, Ltd",a4tech,Economy,6.62,12.99,1,1
a4tech 512MB MP3 Player E51 Blue,512MB USB driver plays MP3 and WMA,"a4tech, Ltd",a4tech,Economy,6.62,12.99,2,1
a4tech 1G MP3 Player E100 White,1GB flash memory and USB driver plays MP3 and WMA,"a4tech, Ltd",a4tech,Economy,7.40,14.52,3,1
a4tech 2G MP3 Player E200 Silver,"2GB flash memory, LCD display, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,11.00,21.57,4,1
a4tech 2G MP3 Player E200 Red,"2GB flash memory, LCD display, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,11.00,21.57,5,1
a4tech 2G MP3 Player E200 Black,"2GB flash memory, LCD display, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,11.00,21.57,6,1
a4tech 2G MP3 Player E200 Blue,"2GB flash memory, LCD display, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,11.00,21.57,7,1
a4tech 4G MP3 Player E400 Silver,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,30.58,59.99,8,1
a4tech 4G MP3 Player E400 Black,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,30.58,59.99,9,1
a4tech 4G MP3 Player E400 Green,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,30.58,59.99,10,1
a4tech 4G MP3 Player E400 Orange,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA","a4tech, Ltd",a4tech,Economy,30.58,59.99,11,1
a4tech 4GB Flash MP3 Player E401 Blue,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG","a4tech, Ltd",a4tech,Economy,35.72,77.68,12,1
a4tech 4GB Flash MP3 Player E401 Black,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG","a4tech, Ltd",a4tech,Economy,35.72,77.68,13,1
a4tech 4GB Flash MP3 Player E401 Silver,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG","a4tech, Ltd",a4tech,Economy,35.72,77.68,14,1
a4tech 4GB Flash MP3 Player E401 White,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG","a4tech, Ltd",a4tech,Economy,35.72,77.68,15,1
a4tech 8GB Super-Slim MP3/Video Player M800 White,"2"" color LCD, Touchpad, Plays music, video, photos and text","a4tech, Ltd",a4tech,Regular,50.56,109.95,16,1
a4tech 8GB Super-Slim MP3/Video Player M800 Red,"2"" color LCD, Touchpad, Plays music, video, photos and text","a4tech, Ltd",a4tech,Regular,50.56,109.95,17,1
a4tech 8GB Super-Slim MP3/Video Player M800 Green,"2"" color LCD, Touchpad, Plays music, video, photos and text","a4tech, Ltd",a4tech,Regular,50.56,109.95,18,1
a4tech 8GB Super-Slim MP3/Video Player M800 Pink,"2"" color LCD, Touchpad, Plays music, video, photos and text","a4tech, Ltd",a4tech,Regular,50.56,109.95,19,1
a4tech 8GB MP3 Player new model M820 Black,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG","a4tech, Ltd",a4tech,Regular,61.62,134.00,20,1
a4tech 8GB MP3 Player new model M820 Blue,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG","a4tech, Ltd",a4tech,Regular,61.62,134.00,21,1
a4tech 8GB MP3 Player new model M820 Yellow,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG","a4tech, Ltd",a4tech,Regular,61.62,134.00,22,1
a4tech 8GB MP3 Player new model M820 White,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG","a4tech, Ltd",a4tech,Regular,61.62,134.00,23,1
a4tech 16GB Mp5 Player M1600 Blue,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV","a4tech, Ltd",a4tech,Regular,91.93,199.90,24,1
a4tech 16GB Mp5 Player M1600 Black,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV","a4tech, Ltd",a4tech,Regular,91.93,199.90,25,1
a4tech 16GB Mp5 Player M1600 Green,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV","a4tech, Ltd",a4tech,Regular,91.93,199.90,26,1
a4tech 16GB Mp5 Player M1600 White,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV","a4tech, Ltd",a4tech,Regular,91.93,199.90,27,1
a4tech 16GB Mp5 Player M1600 Red,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV","a4tech, Ltd",a4tech,Regular,91.93,199.90,28,1
a4tech 32GB Video MP3 Player M3200 White,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life","a4tech, Ltd",a4tech,Regular,84.49,255.00,29,1
a4tech 32GB Video MP3 Player M3200 Red,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life","a4tech, Ltd",a4tech,Regular,84.49,255.00,30,1
a4tech 32GB Video MP3 Player M3200 Orange,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life","a4tech, Ltd",a4tech,Regular,84.49,255.00,31,1
a4tech 32GB Video MP3 Player M3200 Pink,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life","a4tech, Ltd",a4tech,Regular,84.49,255.00,32,1
a4tech 32GB Video MP3 Player M3200 Black,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life","a4tech, Ltd",a4tech,Regular,84.49,255.00,33,1
a4tech 4GB Portable MP3 Player M450 Black,"4GB built in memory, USB driver and earphone, play MP3, WMA","a4tech, Ltd",a4tech,Regular,48.92,95.95,34,1
a4tech 4GB Portable MP3 Player M450 White,"4GB built in memory, USB driver and earphone, play MP3, WMA","a4tech, Ltd",a4tech,Regular,48.92,95.95,35,1
a4tech 4GB Portable MP3 Player M450 Yellow,"4GB built in memory, USB driver and earphone, play MP3, WMA","a4tech, Ltd",a4tech,Regular,48.92,95.95,36,1
a4tech 8GB Clock & Radio MP3 Player X850 Silver,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB","a4tech, Ltd",a4tech,Deluxe,99.14,299.23,37,1
a4tech 8GB Clock & Radio MP3 Player X850 Black,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB","a4tech, Ltd",a4tech,Deluxe,99.14,299.23,38,1
a4tech 8GB Clock & Radio MP3 Player X850 Green,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB","a4tech, Ltd",a4tech,Deluxe,99.14,299.23,39,1
a4tech 8GB Clock & Radio MP3 Player X850 Blue,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB","a4tech, Ltd",a4tech,Deluxe,99.14,299.23,40,1
a4tech 16GB New Generation MP5 Player M1650 Silver,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","a4tech, Ltd",a4tech,Regular,106.69,232.00,41,1
a4tech 16GB New Generation MP5 Player M1650 White,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","a4tech, Ltd",a4tech,Regular,106.69,232.00,42,1
a4tech 16GB New Generation MP5 Player M1650 Black,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","a4tech, Ltd",a4tech,Regular,106.69,232.00,43,1
